CASNumber,HazardCode
15120-21-5, H318, Eye Dam. 1
7632-04-4, H272, Ox. Sol. 2
7632-04-4, H360Df, Repr. 1B
7632-04-4, H331, Acute Tox. 3
7632-04-4, H302, Acute Tox. 4
7632-04-4, H335, STOT SE 3
7632-04-4, H318, Eye Dam. 1
13517-20-9, H360Df, Repr. 1B
13517-20-9, H335, STOT SE 3
13517-20-9, H318, Eye Dam. 1
37244-98-7, H360Df, Repr. 1B
37244-98-7, H335, STOT SE 3
37244-98-7, H318, Eye Dam. 1
10486-00-7, H360Df, Repr. 1B
10486-00-7, H335, STOT SE 3
10486-00-7, H318, Eye Dam. 1
13517-20-9, H360Df, Repr. 1B
13517-20-9, H332, Acute Tox. 4
13517-20-9, H335, STOT SE 3
13517-20-9, H318, Eye Dam. 1
37244-98-7, H360Df, Repr. 1B
37244-98-7, H332, Acute Tox. 4
37244-98-7, H335, STOT SE 3
37244-98-7, H318, Eye Dam. 1
10486-00-7, H360Df, Repr. 1B
10486-00-7, H332, Acute Tox. 4
10486-00-7, H335, STOT SE 3
10486-00-7, H318, Eye Dam. 1
11138-47-9, H272, Ox. Sol. 3
11138-47-9, H360Df, Repr. 1B
11138-47-9, H302, Acute Tox. 4
11138-47-9, H335, STOT SE 3
11138-47-9, H318, Eye Dam. 1
12040-72-1, H272, Ox. Sol. 3
12040-72-1, H360Df, Repr. 1B
12040-72-1, H302, Acute Tox. 4
12040-72-1, H335, STOT SE 3
12040-72-1, H318, Eye Dam. 1
10332-33-9, H272, Ox. Sol. 3
10332-33-9, H360Df, Repr. 1B
10332-33-9, H302, Acute Tox. 4
10332-33-9, H335, STOT SE 3
10332-33-9, H318, Eye Dam. 1
11138-47-9, H272, Ox. Sol. 3
11138-47-9, H360Df, Repr. 1B
11138-47-9, H331, Acute Tox. 3
11138-47-9, H302, Acute Tox. 4
11138-47-9, H335, STOT SE 3
11138-47-9, H318, Eye Dam. 1
12040-72-1, H272, Ox. Sol. 3
12040-72-1, H360Df, Repr. 1B
12040-72-1, H331, Acute Tox. 3
12040-72-1, H302, Acute Tox. 4
12040-72-1, H335, STOT SE 3
12040-72-1, H318, Eye Dam. 1
10332-33-9, H272, Ox. Sol. 3
10332-33-9, H360Df, Repr. 1B
10332-33-9, H331, Acute Tox. 3
10332-33-9, H302, Acute Tox. 4
10332-33-9, H335, STOT SE 3
10332-33-9, H318, Eye Dam. 1
12008-41-2, H360FD, Repr. 1B
12280-03-4, H360FD, Repr. 1B
630-08-0, H220, Flam. Gas 1
630-08-0, H360D, Press. Gas
630-08-0, H331, Repr. 1A
630-08-0, H372, Acute Tox. 3
75-44-5, H330, Press. Gas
75-44-5, H314, Acute Tox. 2
75-15-0, H225, Flam. Liq. 2
75-15-0, H361fd, Repr. 2
75-15-0, H372, STOT RE 1
75-15-0, H315, Skin Irrit. 2
75-15-0, H319, Eye Irrit. 2
75-20-7, H260, Water-react. 1
137-26-8, H332, Acute Tox. 4
137-26-8, H302, Acute Tox. 4
137-26-8, H373, STOT RE 2
137-26-8, H315, Skin Irrit. 2
137-26-8, H319, Eye Irrit. 2
137-26-8, H317, Skin Sens. 1
137-26-8, H400, Aquatic Acute 1
137-26-8, H410, Aquatic Chronic 1
74-90-8, H224, Flam. Liq. 1
74-90-8, H330, Acute Tox. 2
74-90-8, H400, Aquatic Acute 1
74-90-8, H410, Aquatic Chronic 1
74-90-8, H310, Acute Tox. 1
74-90-8, H330, Acute Tox. 2
74-90-8, H300, Acute Tox. 2
74-90-8, H400, Aquatic Acute 1
74-90-8, H410, Aquatic Chronic 1
86-88-4, H351, Carc. 2
86-88-4, H300, Acute Tox. 2
119-38-0, H310, Acute Tox. 1
119-38-0, H300, Acute Tox. 2
122-15-6, H301, Acute Tox. 3
63-25-2, H351, Carc. 2
63-25-2, H332, Acute Tox. 4
63-25-2, H302, Acute Tox. 4
63-25-2, H400, Aquatic Acute 1
137-30-4, H330, Acute Tox. 2
137-30-4, H302, Acute Tox. 4
137-30-4, H335, STOT SE 3
137-30-4, H373, STOT RE 2
137-30-4, H318, Eye Dam. 1
137-30-4, H317, Skin Sens. 1
137-30-4, H400, Aquatic Acute 1
137-30-4, H410, Aquatic Chronic 1
137-42-8, H302, Acute Tox. 4
137-42-8, H314, Skin Corr. 1B
137-42-8, H317, Skin Sens. 1
137-42-8, H400, Aquatic Acute 1
137-42-8, H410, Aquatic Chronic 1
142-59-6, H302, Acute Tox. 4
142-59-6, H335, STOT SE 3
142-59-6, H317, Skin Sens. 1
142-59-6, H400, Aquatic Acute 1
142-59-6, H410, Aquatic Chronic 1
330-54-1, H351, Carc. 2
330-54-1, H302, Acute Tox. 4
330-54-1, H373, STOT RE 2
330-54-1, H400, Aquatic Acute 1
330-54-1, H410, Aquatic Chronic 1
114-26-1, H301, Acute Tox. 3
114-26-1, H400, Aquatic Acute 1
114-26-1, H410, Aquatic Chronic 1
116-06-3, H330, Acute Tox. 2
116-06-3, H300, Acute Tox. 2
116-06-3, H311, Acute Tox. 3
116-06-3, H400, Aquatic Acute 1
116-06-3, H410, Aquatic Chronic 1
2032-59-9, H311, Acute Tox. 3
2032-59-9, H301, Acute Tox. 3
2032-59-9, H400, Aquatic Acute 1
2032-59-9, H410, Aquatic Chronic 1
2303-16-4, H351, Carc. 2
2303-16-4, H302, Acute Tox. 4
2303-16-4, H400, Aquatic Acute 1
2303-16-4, H410, Aquatic Chronic 1
101-27-9, H302, Acute Tox. 4
101-27-9, H317, Skin Sens. 1
101-27-9, H400, Aquatic Acute 1
101-27-9, H410, Aquatic Chronic 1
330-55-2, H351, Carc. 2
330-55-2, H360Df, Repr. 1B
330-55-2, H302, Acute Tox. 4
330-55-2, H373, STOT RE 2
330-55-2, H400, Aquatic Acute 1
330-55-2, H410, Aquatic Chronic 1
1563-67-3, H331, Acute Tox. 3
1563-67-3, H311, Acute Tox. 3
1563-67-3, H301, Acute Tox. 3
2032-65-7, H301, Acute Tox. 3
2032-65-7, H400, Aquatic Acute 1
2032-65-7, H410, Aquatic Chronic 1
140-93-2, H302, Acute Tox. 4
140-93-2, H315, Skin Irrit. 2
140-93-2, H411, Aquatic Chronic 2
584-79-2, H332, Acute Tox. 4
584-79-2, H302, Acute Tox. 4
584-79-2, H400, Aquatic Acute 1
584-79-2, H410, Aquatic Chronic 1
28434-00-6, H332, Acute Tox. 4
28434-00-6, H302, Acute Tox. 4
28434-00-6, H400, Aquatic Acute 1
28434-00-6, H410, Aquatic Chronic 1
84030-86-4, H332, Acute Tox. 4
84030-86-4, H302, Acute Tox. 4
84030-86-4, H400, Aquatic Acute 1
84030-86-4, H410, Aquatic Chronic 1
1563-66-2, H330, Acute Tox. 2
1563-66-2, H300, Acute Tox. 2
1563-66-2, H400, Aquatic Acute 1
1563-66-2, H410, Aquatic Chronic 1
973-21-7, H301, Acute Tox. 3
973-21-7, H400, Aquatic Acute 1
973-21-7, H410, Aquatic Chronic 1
6988-21-2, H301, Acute Tox. 3
6988-21-2, H411, Aquatic Chronic 2
759-94-4, H302, Acute Tox. 4
22259-30-9, H330, Acute Tox. 2
22259-30-9, H300, Acute Tox. 2
22259-30-9, H317, Skin Sens. 1
22259-30-9, H400, Aquatic Acute 1
22259-30-9, H410, Aquatic Chronic 1
1746-81-2, H302, Acute Tox. 4
1746-81-2, H373, STOT RE 2
1746-81-2, H400, Aquatic Acute 1
1746-81-2, H410, Aquatic Chronic 1
19937-59-8, H400, Aquatic Acute 1
19937-59-8, H410, Aquatic Chronic 1
1114-71-2, H302, Acute Tox. 4
1114-71-2, H411, Aquatic Chronic 2
23103-98-2, H351, Carc. 2
23103-98-2, H331, Acute Tox. 3
23103-98-2, H301, Acute Tox. 3
23103-98-2, H317, Skin Sens. 1
23103-98-2, H400, Aquatic Acute 1
23103-98-2, H410, Aquatic Chronic 1
1929-88-0, H302, Acute Tox. 4
2631-37-0, H301, Acute Tox. 3
2631-37-0, H400, Aquatic Acute 1
2631-37-0, H410, Aquatic Chronic 1
95-06-7, H350, Carc. 1B
95-06-7, H302, Acute Tox. 4
95-06-7, H400, Aquatic Acute 1
95-06-7, H410, Aquatic Chronic 1
2303-17-5, H302, Acute Tox. 4
2303-17-5, H373, STOT RE 2
2303-17-5, H317, Skin Sens. 1
2303-17-5, H400, Aquatic Acute 1
2303-17-5, H410, Aquatic Chronic 1
2532-43-6, H331, Acute Tox. 3
2532-43-6, H311, Acute Tox. 3
2532-43-6, H301, Acute Tox. 3
79-44-7, H350, Carc. 1B
79-44-7, H331, Acute Tox. 3
79-44-7, H302, Acute Tox. 4
79-44-7, H335, STOT SE 3
79-44-7, H315, Skin Irrit. 2
79-44-7, H319, Eye Irrit. 2
150-68-5, H351, Carc. 2
150-68-5, H302, Acute Tox. 4
150-68-5, H400, Aquatic Acute 1
150-68-5, H410, Aquatic Chronic 1
140-41-0, H351, Carc. 2
140-41-0, H315, Skin Irrit. 2
140-41-0, H319, Eye Irrit. 2
140-41-0, H400, Aquatic Acute 1
140-41-0, H410, Aquatic Chronic 1
34123-59-6, H351, Carc. 2
34123-59-6, H373, STOT RE 2
34123-59-6, H400, Aquatic Acute 1
34123-59-6, H410, Aquatic Chronic 1
16752-77-5, H300, Acute Tox. 2
16752-77-5, H400, Aquatic Acute 1
16752-77-5, H410, Aquatic Chronic 1
22781-23-3, H300, Acute Tox. 2
22781-23-3, H331, Acute Tox. 3
22781-23-3, H311, Acute Tox. 3
22781-23-3, H400, Aquatic Acute 1
22781-23-3, H410, Aquatic Chronic 1
8065-36-9, H311, Acute Tox. 3
8065-36-9, H301, Acute Tox. 3
8065-36-9, H400, Aquatic Acute 1
8065-36-9, H410, Aquatic Chronic 1
29973-13-5, H302, Acute Tox. 4
29973-13-5, H400, Aquatic Acute 1
29973-13-5, H410, Aquatic Chronic 1
502-55-6, H302, Acute Tox. 4
4482-55-7, H315, Skin Irrit. 2
4482-55-7, H400, Aquatic Acute 1
4482-55-7, H410, Aquatic Chronic 1
14484-64-1, H335, STOT SE 3
14484-64-1, H315, Skin Irrit. 2
14484-64-1, H319, Eye Irrit. 2
14484-64-1, H400, Aquatic Acute 1
14484-64-1, H410, Aquatic Chronic 1
23422-53-9, H330, Acute Tox. 2
23422-53-9, H300, Acute Tox. 2
23422-53-9, H317, Skin Sens. 1
23422-53-9, H400, Aquatic Acute 1
23422-53-9, H410, Aquatic Chronic 1
2631-40-5, H302, Acute Tox. 4
2631-40-5, H400, Aquatic Acute 1
2631-40-5, H410, Aquatic Chronic 1
315-18-4, H300, Acute Tox. 2
315-18-4, H312, Acute Tox. 4
315-18-4, H400, Aquatic Acute 1
315-18-4, H410, Aquatic Chronic 1
2425-10-7, H302, Acute Tox. 4
2425-10-7, H400, Aquatic Acute 1
2425-10-7, H410, Aquatic Chronic 1
1129-41-5, H302, Acute Tox. 4
1129-41-5, H411, Aquatic Chronic 2
1929-82-4, H302, Acute Tox. 4
1929-82-4, H411, Aquatic Chronic 2
2163-79-3, H302, Acute Tox. 4
23135-22-0, H330, Acute Tox. 2
23135-22-0, H300, Acute Tox. 2
23135-22-0, H312, Acute Tox. 4
23135-22-0, H411, Aquatic Chronic 2
5259-88-1, H302, Acute Tox. 4
5259-88-1, H412, Aquatic Chronic 3
19622-19-6, H302, Acute Tox. 4
19622-19-6, H411, Aquatic Chronic 2
1918-18-9, H302, Acute Tox. 4
28249-77-6, H302, Acute Tox. 4
28249-77-6, H400, Aquatic Acute 1
28249-77-6, H410, Aquatic Chronic 1
39196-18-4, H310, Acute Tox. 1
39196-18-4, H300, Acute Tox. 2
39196-18-4, H400, Aquatic Acute 1
39196-18-4, H410, Aquatic Chronic 1
15271-41-7, H300, Acute Tox. 2
15271-41-7, H311, Acute Tox. 3
15271-41-7, H411, Aquatic Chronic 2
1929-77-7, H302, Acute Tox. 4
1929-77-7, H411, Aquatic Chronic 2
2655-14-3, H302, Acute Tox. 4
334-88-3, H350, Carc. 1B
23564-05-8, H341, Muta. 2
23564-05-8, H332, Acute Tox. 4
23564-05-8, H317, Skin Sens. 1
23564-05-8, H400, Aquatic Acute 1
23564-05-8, H410, Aquatic Chronic 1
60568-05-0, H351, Carc. 2
60568-05-0, H400, Aquatic Acute 1
60568-05-0, H410, Aquatic Chronic 1
87731-18-8, H317, Skin Sens. 1
52888-80-9, H302, Acute Tox. 4
52888-80-9, H317, Skin Sens. 1
52888-80-9, H411, Aquatic Chronic 2
31506-43-1, H318, Eye Dam. 1
2094-99-7, H330, Acute Tox. 2
2094-99-7, H373, STOT RE 2
2094-99-7, H314, Skin Corr. 1B
2094-99-7, H334, Resp. Sens. 1
2094-99-7, H317, Skin Sens. 1
2094-99-7, H400, Aquatic Acute 1
2094-99-7, H410, Aquatic Chronic 1
8018-01-7, H361d, Repr. 2
8018-01-7, H317, Skin Sens. 1
8018-01-7, H400, Aquatic Acute 1
12427-38-2, H361d, Repr. 2
12427-38-2, H332, Acute Tox. 4
12427-38-2, H319, Eye Irrit. 2
12427-38-2, H317, Skin Sens. 1
12427-38-2, H400, Aquatic Acute 1
12427-38-2, H410, Aquatic Chronic 1
12122-67-7, H335, STOT SE 3
12122-67-7, H317, Skin Sens. 1
97-77-8, H302, Acute Tox. 4
97-77-8, H373, STOT RE 2
97-77-8, H317, Skin Sens. 1
97-77-8, H400, Aquatic Acute 1
97-77-8, H410, Aquatic Chronic 1
97-74-5, H302, Acute Tox. 4
97-74-5, H317, Skin Sens. 1
97-74-5, H411, Aquatic Chronic 2
136-23-2, H335, STOT SE 3
136-23-2, H315, Skin Irrit. 2
136-23-2, H319, Eye Irrit. 2
136-23-2, H317, Skin Sens. 1
136-23-2, H400, Aquatic Acute 1
136-23-2, H410, Aquatic Chronic 1
14324-55-1, H302, Acute Tox. 4
14324-55-1, H335, STOT SE 3
14324-55-1, H315, Skin Irrit. 2
14324-55-1, H319, Eye Irrit. 2
14324-55-1, H317, Skin Sens. 1
14324-55-1, H400, Aquatic Acute 1
14324-55-1, H410, Aquatic Chronic 1
34681-10-2, H226, Flam. Liq. 3
34681-10-2, H331, Acute Tox. 3
34681-10-2, H311, Acute Tox. 3
34681-10-2, H301, Acute Tox. 3
34681-10-2, H319, Eye Irrit. 2
34681-10-2, H400, Aquatic Acute 1
34681-10-2, H410, Aquatic Chronic 1
55285-14-8, H330, Acute Tox. 2
55285-14-8, H301, Acute Tox. 3
55285-14-8, H317, Skin Sens. 1
55285-14-8, H400, Aquatic Acute 1
55285-14-8, H410, Aquatic Chronic 1
3766-81-2, H302, Acute Tox. 4
3766-81-2, H400, Aquatic Acute 1
3766-81-2, H410, Aquatic Chronic 1
72490-01-8, H351, Carc. 2
72490-01-8, H400, Aquatic Acute 1
72490-01-8, H410, Aquatic Chronic 1
65907-30-4, H330, Acute Tox. 2
65907-30-4, H301, Acute Tox. 3
65907-30-4, H373, STOT RE 2
65907-30-4, H315, Skin Irrit. 2
65907-30-4, H319, Eye Irrit. 2
65907-30-4, H317, Skin Sens. 1
65907-30-4, H400, Aquatic Acute 1
65907-30-4, H410, Aquatic Chronic 1
82560-54-1, H361f, Repr. 2
82560-54-1, H331, Acute Tox. 3
82560-54-1, H302, Acute Tox. 4
82560-54-1, H400, Aquatic Acute 1
82560-54-1, H410, Aquatic Chronic 1
88558-41-2, H332, Acute Tox. 4
88558-41-2, H318, Eye Dam. 1
88558-41-2, H412, Aquatic Chronic 3
9016-72-2, H332, Acute Tox. 4
9016-72-2, H373, STOT RE 2
9016-72-2, H317, Skin Sens. 1
9016-72-2, H400, Aquatic Acute 1
98737-29-2, H400, Aquatic Acute 1
98737-29-2, H410, Aquatic Chronic 1
103122-66-3, H226, Flam. Liq. 3
103122-66-3, H350, Carc. 1B
103122-66-3, H340, Muta. 1B
103122-66-3, H302, Acute Tox. 4
103122-66-3, H373, STOT RE 2
103122-66-3, H317, Skin Sens. 1
103122-66-3, H411, Aquatic Chronic 2
39148-24-8, H318, Eye Dam. 1
101-21-3, H351, Carc. 2
101-21-3, H373, STOT RE 2
101-21-3, H411, Aquatic Chronic 2
13909-63-2, H302, Acute Tox. 4
13909-63-2, H373, STOT RE 2
13909-63-2, H412, Aquatic Chronic 3
134575-17-0, H302, Acute Tox. 4
134575-17-0, H373, STOT RE 2
134575-17-0, H318, Eye Dam. 1
134575-17-0, H317, Skin Sens. 1
232938-43-1, H411, Aquatic Chronic 2
7664-41-7, H221, Flam. Gas 2
7664-41-7, H331, Press. Gas
7664-41-7, H314, Acute Tox. 3
7664-41-7, H400, Skin Corr. 1B
1336-21-6, H314, Skin Corr. 1B
1336-21-6, H400, Aquatic Acute 1
10102-44-0, H270, Ox. Gas 1
10102-44-0, H330, Press. Gas
10102-44-0, H314, Acute Tox. 2
10544-72-6, H270, Ox. Gas 1
10544-72-6, H330, Press. Gas
10544-72-6, H314, Acute Tox. 2
999-81-5, H312, Acute Tox. 4
999-81-5, H302, Acute Tox. 4
7697-37-2, H272, Ox. Liq. 2
7697-37-2, H314, Skin Corr. 1A
109-95-5, H220, Flam. Gas 1
109-95-5, H332, Press. Gas
109-95-5, H312, Acute Tox. 4
109-95-5, H302, Acute Tox. 4
625-58-1, H200, Unst. Expl.
302-01-2, H226, Flam. Liq. 3
302-01-2, H350, Carc. 1B
302-01-2, H331, Acute Tox. 3
302-01-2, H311, Acute Tox. 3
302-01-2, H301, Acute Tox. 3
302-01-2, H314, Skin Corr. 1B
302-01-2, H317, Skin Sens. 1
302-01-2, H400, Aquatic Acute 1
302-01-2, H410, Aquatic Chronic 1
3129-91-7, H332, Acute Tox. 4
3129-91-7, H302, Acute Tox. 4
7632-00-0, H272, Ox. Sol. 3
7632-00-0, H301, Acute Tox. 3
7632-00-0, H400, Aquatic Acute 1
7758-09-0, H272, Ox. Sol. 2
7758-09-0, H301, Acute Tox. 3
7758-09-0, H400, Aquatic Acute 1
57-14-7, H225, Flam. Liq. 2
57-14-7, H350, Carc. 1B
57-14-7, H331, Acute Tox. 3
57-14-7, H301, Acute Tox. 3
57-14-7, H314, Skin Corr. 1B
57-14-7, H411, Aquatic Chronic 2
540-73-8, H350, Carc. 1B
540-73-8, H331, Acute Tox. 3
540-73-8, H311, Acute Tox. 3
540-73-8, H301, Acute Tox. 3
540-73-8, H411, Aquatic Chronic 2
624-86-2, H225, Flam. Liq. 2
624-86-2, H331, Acute Tox. 3
624-86-2, H311, Acute Tox. 3
624-86-2, H301, Acute Tox. 3
624-86-2, H372, STOT RE 1
624-86-2, H319, Eye Irrit. 2
624-86-2, H317, Skin Sens. 1
624-86-2, H400, Aquatic Acute 1
544-16-1, H225, Flam. Liq. 2
544-16-1, H331, Acute Tox. 3
544-16-1, H301, Acute Tox. 3
542-56-3, H225, Flam. Liq. 2
542-56-3, H350, Carc. 1B
542-56-3, H341, Muta. 2
542-56-3, H332, Acute Tox. 4
542-56-3, H302, Acute Tox. 4
924-43-6, H225, Flam. Liq. 2
924-43-6, H332, Acute Tox. 4
924-43-6, H302, Acute Tox. 4
540-80-7, H225, Flam. Liq. 2
540-80-7, H332, Acute Tox. 4
540-80-7, H302, Acute Tox. 4
463-04-7, H225, Flam. Liq. 2
463-04-7, H332, Acute Tox. 4
463-04-7, H302, Acute Tox. 4
110-46-3, H225, Flam. Liq. 2
110-46-3, H332, Acute Tox. 4
110-46-3, H302, Acute Tox. 4
122-66-7, H350, Carc. 1B
122-66-7, H302, Acute Tox. 4
122-66-7, H400, Aquatic Acute 1
122-66-7, H410, Aquatic Chronic 1
36362-09-1, H373, STOT RE 2
36362-09-1, H315, Skin Irrit. 2
36362-09-1, H318, Eye Dam. 1
36362-09-1, H400, Aquatic Acute 1
36362-09-1, H410, Aquatic Chronic 1
81880-96-8, H341, Muta. 2
81880-96-8, H301, Acute Tox. 3
81880-96-8, H372, STOT RE 1
81880-96-8, H317, Skin Sens. 1
81880-96-8, H400, Aquatic Acute 1
81880-96-8, H410, Aquatic Chronic 1
122035-71-6, H318, Eye Dam. 1
122035-71-6, H317, Skin Sens. 1
771478-66-1, H312, Acute Tox. 4
771478-66-1, H302, Acute Tox. 4
771478-66-1, H373, STOT RE 2
771478-66-1, H314, Skin Corr. 1B
771478-66-1, H317, Skin Sens. 1
771478-66-1, H400, Aquatic Acute 1
771478-66-1, H410, Aquatic Chronic 1
13465-08-2, H201, Expl. 1.1
13465-08-2, H351, Carc. 2
13465-08-2, H311, Acute Tox. 3
13465-08-2, H302, Acute Tox. 4
13465-08-2, H373, STOT RE 2
13465-08-2, H315, Skin Irrit. 2
13465-08-2, H319, Eye Irrit. 2
13465-08-2, H317, Skin Sens. 1
13465-08-2, H400, Aquatic Acute 1
95500-19-9, H312, Acute Tox. 4
95500-19-9, H302, Acute Tox. 4
95500-19-9, H314, Skin Corr. 1A
7782-44-7, H270, Ox. Gas 1
7722-84-1, H271, Ox. Liq. 1
7722-84-1, H332, Acute Tox. 4
7722-84-1, H302, Acute Tox. 4
7722-84-1, H314, Skin Corr. 1A
7782-41-4, H270, Ox. Gas 1
7782-41-4, H330, Press. Gas
7782-41-4, H314, Acute Tox. 2
7664-39-3, H310, Acute Tox. 1
7664-39-3, H330, Acute Tox. 2
7664-39-3, H300, Acute Tox. 2
7664-39-3, H314, Skin Corr. 1A
7664-39-3, H310, Acute Tox. 1
7664-39-3, H330, Acute Tox. 2
7664-39-3, H300, Acute Tox. 2
7664-39-3, H314, Skin Corr. 1A
7681-49-4, H301, Acute Tox. 3
7681-49-4, H315, Skin Irrit. 2
7681-49-4, H319, Eye Irrit. 2
7789-23-3, H331, Acute Tox. 3
7789-23-3, H311, Acute Tox. 3
7789-23-3, H301, Acute Tox. 3
12125-01-8, H331, Acute Tox. 3
12125-01-8, H311, Acute Tox. 3
12125-01-8, H301, Acute Tox. 3
1333-83-1, H301, Acute Tox. 3
1333-83-1, H314, Skin Corr. 1B
7789-29-9, H301, Acute Tox. 3
7789-29-9, H314, Skin Corr. 1B
1341-49-7, H301, Acute Tox. 3
1341-49-7, H314, Skin Corr. 1B
16872-11-0, H314, Skin Corr. 1B
16961-83-4, H314, Skin Corr. 1B
16893-85-9, H331, Acute Tox. 3
16893-85-9, H311, Acute Tox. 3
16893-85-9, H301, Acute Tox. 3
16871-90-2, H331, Acute Tox. 3
16871-90-2, H311, Acute Tox. 3
16871-90-2, H301, Acute Tox. 3
16919-19-0, H331, Acute Tox. 3
16919-19-0, H311, Acute Tox. 3
16919-19-0, H301, Acute Tox. 3
25808-74-6, H360Df, Repr. 1A
25808-74-6, H332, Acute Tox. 4
25808-74-6, H302, Acute Tox. 4
25808-74-6, H373, STOT RE 2
25808-74-6, H400, Aquatic Acute 1
25808-74-6, H410, Aquatic Chronic 1
2699-79-8, H331, Press. Gas
2699-79-8, H373, Acute Tox. 3
2699-79-8, H400, STOT RE 2
13775-53-6, H332, Acute Tox. 4
13775-53-6, H372, STOT RE 1
13775-53-6, H411, Aquatic Chronic 2
15096-52-3, H332, Acute Tox. 4
15096-52-3, H372, STOT RE 1
15096-52-3, H411, Aquatic Chronic 2
12091-08-6, H228, Flam. Sol. 1
12091-08-6, H260, Water-react. 1
12091-08-6, H332, Acute Tox. 4
12091-08-6, H314, Skin Corr. 1A
16949-65-8, H301, Acute Tox. 3
7440-23-5, H260, Water-react. 1
7440-23-5, H314, Skin Corr. 1B
1310-73-2, H314, Skin Corr. 1A
1313-60-6, H271, Ox. Sol. 1
1313-60-6, H314, Skin Corr. 1A
26628-22-8, H300, Acute Tox. 2
26628-22-8, H400, Aquatic Acute 1
26628-22-8, H410, Aquatic Chronic 1
497-19-8, H319, Eye Irrit. 2
917-61-3, H302, Acute Tox. 4
917-61-3, H412, Aquatic Chronic 3
181274-15-7, H400, Aquatic Acute 1
181274-15-7, H410, Aquatic Chronic 1
7439-95-4, H250, Pyr. Sol. 1
7439-95-4, H260, Water-react. 1
7429-90-5, H250, Pyr. Sol. 1
7429-90-5, H261, Water-react. 2
7429-90-5, H228, Flam. Sol. 1
